Date,Operator,A/C Type,Location,Crew on board,Crew fatalities,PAX on board,PAX fatalities,Total on board,Total fatalities,Flight Type,Flight Phase,Continent,Year,Probable Causes
23-Nov-42,LATI,Savoia-Marchetti SM.75,"Mediterranean Sea, All World",4,4,0,0,4,4,Scheduled Revenue Flight,Flight,Unknown,1942,Conflict Factors
24-Nov-42,United States AAF,Consolidated B-24 Liberator,"Atlantic Ocean, All World",5,5,0,0,5,5,Delivery,Flight,Unknown,1942,Disappeared Without Trace
26-Nov-42,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,North America,1942,Disappeared Without Trace
9-Dec-42,United States AAF,Consolidated C-87 Liberator Express,"Atlantic Ocean, All World",5,5,5,5,10,10,Military,Flight,South America,1942,Disappeared Without Trace
14-Dec-42,United States NAVY,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",8,0,0,0,8,0,Survey / Patrol / Reconnaissance,Flight,South America,1942,Human Errors
17-Dec-42,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",7,7,0,0,7,7,Military,Flight,Unknown,1942,Poor Weather
19-Dec-42,Royal Air Force,Handley Page H.P.54 Harrow,"Bay of Biscay, All World",7,7,4,4,11,11,Military,Flight,Europe,1942,Disappeared Without Trace
27-Dec-42,United States NAVY,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",8,8,0,0,8,8,Supply,Flight,Europe,1942,Poor Weather
1-Jan-43,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",5,3,0,0,5,3,Military,Flight,Unknown,1943,Human Errors
17-Jan-43,United States AAF,Consolidated C-87 Liberator Express,"Atlantic Ocean, All World",6,6,20,20,26,26,Military,Flight,South America,1943,Poor Weather
22-Jan-43,Royal Air Force,Lockheed PV-1 Ventura,"The Channel, All World",4,4,0,0,4,4,Bombing,Flight,Europe,1943,Unknown Reasons
15-Feb-43,Royal Air Force,Martin B-26 Marauder,"Aegean Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Conflict Factors
18-Feb-43,MLKNIL,North American B-25 Mitchell,"Timor Sea, All World",6,2,0,0,6,2,Bombing,Flight,Australia & Oceania,1943,Conflict Factors
5-Mar-43,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",8,8,0,0,8,8,Military,Flight,North America,1943,Disappeared Without Trace
7-Mar-43,Royal Air Force,Handley Page H.P.57 Halifax II,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1943,Technical Factors
18-Mar-43,United States AAF,Consolidated B-24 Liberator,"Mediterranean Sea, All World",9,9,0,0,9,9,Bombing,Flight,Unknown,1943,Disappeared Without Trace
4-Apr-43,Royal Air Force,Lockheed PV-1 Ventura,"North Sea, All World",4,4,0,0,4,4,Bombing,Flight,Europe,1943,Conflict Factors
10-Apr-43,LATI,Savoia-Marchetti SM.75,"Mediterranean Sea, All World",3,3,0,0,3,3,Scheduled Revenue Flight,Flight,Unknown,1943,Conflict Factors
13-Apr-43,LATI,Savoia-Marchetti SM.75,"Mediterranean Sea, All World",3,3,0,0,3,3,Scheduled Revenue Flight,Flight,Unknown,1943,Conflict Factors
19-Apr-43,LATI,Savoia-Marchetti SM.75,"Mediterranean Sea, All World",3,3,0,0,3,3,Scheduled Revenue Flight,Flight,Unknown,1943,Conflict Factors
25-Apr-43,Royal Air Force,Martin B-26 Marauder,"Tyrrhenian Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Disappeared Without Trace
28-Apr-43,Air Force,Lockheed L-414 Hudson,"Arafura Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Australia & Oceania,1943,Disappeared Without Trace
5-May-43,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",4,3,0,0,4,3,Survey / Patrol / Reconnaissance,Flight,North America,1943,Crashing The Other Objects
1-Jun-43,BOAC,Douglas DC-3,"Bay of Biscay, All World",4,4,13,13,17,17,Scheduled Revenue Flight,Flight,Europe,1943,Conflict Factors
4-Jun-43,Air Force,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",7,7,8,8,15,15,Military,Flight,Australia & Oceania,1943,Unknown Reasons
11-Jun-43,Royal Air Force,Boeing B-17 Flying Fortress,"Atlantic Ocean, All World",8,0,0,0,8,0,Bombing,Flight,Europe,1943,Conflict Factors
11-Jun-43,United States NAVY,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",9,8,0,0,9,8,Ambulance,Landing,Europe,1943,Poor Weather
13-Jun-43,Royal Air Force,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",10,10,0,0,10,10,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Disappeared Without Trace
20-Jun-43,Royal Air Force,Consolidated B-24 Liberator,"Atlantic Ocean, All World",8,2,0,0,8,2,Military,Flight,Unknown,1943,Technical Factors
27-Jun-43,Air Force,Lockheed L-414 Hudson,"Pacific Ocean, All World",5,5,0,0,5,5,Bombing,Flight,Australia & Oceania,1943,Technical Factors
17-Jul-43,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,North America,1943,Disappeared Without Trace
3-Aug-43,Royal Air Force,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",8,8,0,0,8,8,Military,Flight,Europe,1943,Disappeared Without Trace
